NAME                     TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)              AGE
api-gateway              LoadBalancer   10.96.51.90     <pending>     80:30253/TCP         3d16h
grafana                  ClusterIP      10.96.141.138   <none>        3000/TCP             17h
jaeger                   ClusterIP      10.96.151.99    <none>        16686/TCP,6831/UDP   17h
order-service            ClusterIP      10.96.59.29     <none>        5002/TCP,5102/TCP    3d16h
payment-service          ClusterIP      10.96.146.205   <none>        5003/TCP             24h
postgres-postgresql      ClusterIP      10.96.168.153   <none>        5432/TCP             39h
postgres-postgresql-hl   ClusterIP      None            <none>        5432/TCP             39h
prometheus               ClusterIP      10.96.15.136    <none>        9090/TCP             17h
rabbitmq                 ClusterIP      10.96.121.70    <none>        5672/TCP,15672/TCP   24h
user-service             ClusterIP      10.96.62.75     <none>        5001/TCP,5101/TCP    3d16h
web-bff                  ClusterIP      10.96.74.108    <none>        5010/TCP             24h
